time,total_vehicles_seen,active_vehicles,moving_vehicles,stopped_vehicles,finished_vehicles,average_speed,average_moving_speed,total_stopped_time,max_active_vehicles
1.00,0,0,0,0,0,0.00,0.00,0.00,0
2.00,1,1,1,0,0,4.00,4.00,0.00,1
3.00,2,2,2,0,0,3.50,3.50,0.00,2
4.00,3,3,3,0,0,3.67,3.67,0.00,3
5.00,3,3,3,0,0,3.67,3.67,0.00,3
6.00,5,5,4,1,0,2.80,3.50,1.00,5
7.00,5,5,4,1,0,2.20,2.75,2.00,5
8.00,6,6,6,0,0,3.17,3.17,2.00,6
9.00,7,7,6,1,0,3.00,3.50,3.00,7
10.00,8,8,7,1,0,3.13,3.57,4.00,8
11.00,8,8,6,2,0,2.88,3.83,6.00,8
12.00,10,10,9,1,0,3.00,3.33,7.00,10
13.00,10,10,5,5,0,1.40,2.80,12.00,10
14.00,11,11,5,6,0,1.18,2.60,18.00,11
15.00,12,12,2,10,0,0.50,3.00,28.00,12
16.00,13,12,11,1,1,2.50,2.73,29.00,12
17.00,13,11,10,1,2,2.82,3.10,30.00,12
18.00,14,11,9,2,3,2.82,3.44,32.00,12
19.00,14,10,8,2,4,2.50,3.13,34.00,12
20.00,14,9,7,2,5,2.33,3.00,36.00,12
21.00,14,9,3,6,5,0.67,2.00,42.00,12
22.00,14,9,0,9,5,0.00,0.00,51.00,12
23.00,14,9,0,9,5,0.00,0.00,60.00,12
24.00,14,8,6,2,6,2.38,3.17,62.00,12
25.00,14,7,5,2,7,2.29,3.20,64.00,12
26.00,14,6,4,2,8,2.17,3.25,66.00,12
27.00,14,5,3,2,9,1.80,3.00,68.00,12
28.00,14,4,3,1,10,2.25,3.00,69.00,12
29.00,14,4,2,2,10,1.50,3.00,71.00,12
30.00,14,4,2,2,10,1.50,3.00,73.00,12
31.00,14,4,2,2,10,0.50,1.00,75.00,12
32.00,14,3,3,0,11,3.00,3.00,75.00,12
33.00,14,2,2,0,12,3.00,3.00,75.00,12
34.00,14,2,2,0,12,3.00,3.00,75.00,12
35.00,14,2,2,0,12,3.00,3.00,75.00,12
36.00,14,1,1,0,13,1.00,1.00,75.00,12
37.00,14,1,0,1,13,0.00,0.00,76.00,12
38.00,14,1,0,1,13,0.00,0.00,77.00,12
39.00,14,1,0,1,13,0.00,0.00,78.00,12
40.00,14,0,0,0,14,0.00,0.00,78.00,12
